region,tech,vintage,cost,units,notes,data_source,dq_cred,dq_geog,dq_struc,dq_tech,dq_time,data_id
NS,T_HDV_AJF_JFL_N,2045,6132.623678803439,$M 2020CAD / bn tonne-km,CIMS aircraft CAPEX normalized by FAA All Aircraft annual service output; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-air-e97ac762:composite:1:bd087d6387d7310e
NS,T_HDV_AJF_SPK_N,2025,6132.623678803439,$M 2020CAD / bn tonne-km,CIMS aircraft CAPEX normalized by FAA All Aircraft annual service output; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-air-e97ac762:composite:1:bd087d6387d7310e
NS,T_HDV_AJF_SPK_N,2030,6132.623678803439,$M 2020CAD / bn tonne-km,CIMS aircraft CAPEX normalized by FAA All Aircraft annual service output; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-air-e97ac762:composite:1:bd087d6387d7310e
NS,T_HDV_AJF_SPK_N,2035,6132.623678803439,$M 2020CAD / bn tonne-km,CIMS aircraft CAPEX normalized by FAA All Aircraft annual service output; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-air-e97ac762:composite:1:bd087d6387d7310e
NS,T_HDV_AJF_SPK_N,2040,6132.623678803439,$M 2020CAD / bn tonne-km,CIMS aircraft CAPEX normalized by FAA All Aircraft annual service output; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-air-e97ac762:composite:1:bd087d6387d7310e
NS,T_HDV_AJF_SPK_N,2045,6132.623678803439,$M 2020CAD / bn tonne-km,CIMS aircraft CAPEX normalized by FAA All Aircraft annual service output; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-air-e97ac762:composite:1:bd087d6387d7310e
NS,T_HDV_AJP_JFL_N,2025,1032.1218289023984,$M 2020CAD / bn passenger-km,CIMS aircraft CAPEX normalized by FAA All Aircraft annual service output; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-passenger-air-e97ac762:composite:1:ca4132bec8ddc7b3
NS,T_HDV_AJP_JFL_N,2030,1032.1218289023984,$M 2020CAD / bn passenger-km,CIMS aircraft CAPEX normalized by FAA All Aircraft annual service output; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-passenger-air-e97ac762:composite:1:ca4132bec8ddc7b3
NS,T_HDV_AJP_JFL_N,2035,1032.1218289023984,$M 2020CAD / bn passenger-km,CIMS aircraft CAPEX normalized by FAA All Aircraft annual service output; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-passenger-air-e97ac762:composite:1:ca4132bec8ddc7b3
NS,T_HDV_AJP_JFL_N,2040,1032.1218289023984,$M 2020CAD / bn passenger-km,CIMS aircraft CAPEX normalized by FAA All Aircraft annual service output; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-passenger-air-e97ac762:composite:1:ca4132bec8ddc7b3
NS,T_HDV_AJP_JFL_N,2045,1032.1218289023984,$M 2020CAD / bn passenger-km,CIMS aircraft CAPEX normalized by FAA All Aircraft annual service output; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-passenger-air-e97ac762:composite:1:ca4132bec8ddc7b3
NS,T_HDV_AJP_SPK_N,2025,1032.1218289023984,$M 2020CAD / bn passenger-km,CIMS aircraft CAPEX normalized by FAA All Aircraft annual service output; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-passenger-air-e97ac762:composite:1:ca4132bec8ddc7b3
NS,T_HDV_AJP_SPK_N,2030,1032.1218289023984,$M 2020CAD / bn passenger-km,CIMS aircraft CAPEX normalized by FAA All Aircraft annual service output; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-passenger-air-e97ac762:composite:1:ca4132bec8ddc7b3
NS,T_HDV_AJP_SPK_N,2035,1032.1218289023984,$M 2020CAD / bn passenger-km,CIMS aircraft CAPEX normalized by FAA All Aircraft annual service output; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-passenger-air-e97ac762:composite:1:ca4132bec8ddc7b3
NS,T_HDV_AJP_SPK_N,2040,1032.1218289023984,$M 2020CAD / bn passenger-km,CIMS aircraft CAPEX normalized by FAA All Aircraft annual service output; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-passenger-air-e97ac762:composite:1:ca4132bec8ddc7b3
NS,T_HDV_AJP_SPK_N,2045,1032.1218289023984,$M 2020CAD / bn passenger-km,CIMS aircraft CAPEX normalized by FAA All Aircraft annual service output; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-passenger-air-e97ac762:composite:1:ca4132bec8ddc7b3
NS,T_HDV_RF_DSL_N,2025,39.10602039451965,$M 2020CAD / bn tonne-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-rail-7153c4b0:composite:1:67df951b6b1f4bd6
NS,T_HDV_RF_DSL_N,2030,39.10602039451965,$M 2020CAD / bn tonne-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-rail-7153c4b0:composite:1:67df951b6b1f4bd6
NS,T_HDV_RF_DSL_N,2035,39.10602039451965,$M 2020CAD / bn tonne-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-rail-7153c4b0:composite:1:67df951b6b1f4bd6
NS,T_HDV_RF_DSL_N,2040,39.10602039451965,$M 2020CAD / bn tonne-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-rail-7153c4b0:composite:1:67df951b6b1f4bd6
NS,T_HDV_RF_DSL_N,2045,39.10602039451965,$M 2020CAD / bn tonne-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-rail-7153c4b0:composite:1:67df951b6b1f4bd6
NS,T_HDV_RF_H2_N,2025,74.69249895353255,$M 2020CAD / bn tonne-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-rail-2b87d19f:composite:1:515b0963e9e286db
NS,T_HDV_RF_H2_N,2030,74.69249895353255,$M 2020CAD / bn tonne-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-rail-2b87d19f:composite:1:515b0963e9e286db
NS,T_HDV_RF_H2_N,2035,74.69249895353255,$M 2020CAD / bn tonne-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-rail-2b87d19f:composite:1:515b0963e9e286db
NS,T_HDV_RF_H2_N,2040,68.4355356904094,$M 2020CAD / bn tonne-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-rail-2b87d19f:composite:1:515b0963e9e286db
NS,T_HDV_RF_H2_N,2045,62.178572427286255,$M 2020CAD / bn tonne-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-rail-2b87d19f:composite:1:515b0963e9e286db
NS,T_HDV_RF_LNG_N,2025,61.39645201939587,$M 2020CAD / bn tonne-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-rail-2b87d19f:composite:1:515b0963e9e286db
NS,T_HDV_RF_LNG_N,2030,61.39645201939587,$M 2020CAD / bn tonne-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-rail-2b87d19f:composite:1:515b0963e9e286db
NS,T_HDV_RF_LNG_N,2035,61.39645201939587,$M 2020CAD / bn tonne-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-rail-2b87d19f:composite:1:515b0963e9e286db
NS,T_HDV_RF_LNG_N,2040,61.13574521676574,$M 2020CAD / bn tonne-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-rail-2b87d19f:composite:1:515b0963e9e286db
NS,T_HDV_RF_LNG_N,2045,60.87503841413561,$M 2020CAD / bn tonne-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-rail-2b87d19f:composite:1:515b0963e9e286db
NS,T_HDV_RICP_DSL_N,2025,1885.6878005906885,$M 2020CAD / bn passenger-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-passenger-rail-7153c4b0:composite:1:37d8b07bf17dc2b2
NS,T_HDV_RICP_DSL_N,2030,1885.6878005906885,$M 2020CAD / bn passenger-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-passenger-rail-7153c4b0:composite:1:37d8b07bf17dc2b2
NS,T_HDV_RICP_DSL_N,2035,1885.6878005906885,$M 2020CAD / bn passenger-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-passenger-rail-7153c4b0:composite:1:37d8b07bf17dc2b2
NS,T_HDV_RICP_DSL_N,2040,1885.6878005906885,$M 2020CAD / bn passenger-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-passenger-rail-7153c4b0:composite:1:37d8b07bf17dc2b2
NS,T_HDV_RICP_DSL_N,2045,1885.6878005906885,$M 2020CAD / bn passenger-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-passenger-rail-7153c4b0:composite:1:37d8b07bf17dc2b2
NS,T_HDV_RICP_H2_N,2025,2168.5409706792916,$M 2020CAD / bn passenger-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-passenger-rail-2b87d19f:composite:1:5b60ef866184bd6b
NS,T_HDV_RICP_H2_N,2030,2168.5409706792916,$M 2020CAD / bn passenger-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-passenger-rail-2b87d19f:composite:1:5b60ef866184bd6b
NS,T_HDV_RICP_H2_N,2035,2168.5409706792916,$M 2020CAD / bn passenger-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-passenger-rail-2b87d19f:composite:1:5b60ef866184bd6b
NS,T_HDV_RICP_H2_N,2040,2080.5422066517262,$M 2020CAD / bn passenger-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-passenger-rail-2b87d19f:composite:1:5b60ef866184bd6b
NS,T_HDV_RICP_H2_N,2045,1992.5434426241607,$M 2020CAD / bn passenger-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-passenger-rail-2b87d19f:composite:1:5b60ef866184bd6b
NS,T_HDV_WTF_HFO_N,2025,159.71497923605244,$M 2020CAD / bn tonne-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-marine-7153c4b0:composite:1:6ed78a0e5715890a
NS,T_HDV_WTF_HFO_N,2030,159.71497923605244,$M 2020CAD / bn tonne-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-marine-7153c4b0:composite:1:6ed78a0e5715890a
NS,T_HDV_WTF_HFO_N,2035,159.71497923605244,$M 2020CAD / bn tonne-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-marine-7153c4b0:composite:1:6ed78a0e5715890a
NS,T_HDV_WTF_HFO_N,2040,159.71497923605244,$M 2020CAD / bn tonne-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-marine-7153c4b0:composite:1:6ed78a0e5715890a
NS,T_HDV_WTF_HFO_N,2045,159.71497923605244,$M 2020CAD / bn tonne-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-marine-7153c4b0:composite:1:6ed78a0e5715890a
NS,T_HDV_WTF_LNG_N,2025,167.70072819785508,$M 2020CAD / bn tonne-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-marine-2b87d19f:composite:1:ad7b13db5806a90b
NS,T_HDV_WTF_LNG_N,2030,167.70072819785508,$M 2020CAD / bn tonne-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-marine-2b87d19f:composite:1:ad7b13db5806a90b
NS,T_HDV_WTF_LNG_N,2035,167.70072819785508,$M 2020CAD / bn tonne-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-marine-2b87d19f:composite:1:ad7b13db5806a90b
NS,T_HDV_WTF_LNG_N,2040,167.70072819785508,$M 2020CAD / bn tonne-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-marine-2b87d19f:composite:1:ad7b13db5806a90b
NS,T_HDV_WTF_LNG_N,2045,167.70072819785508,$M 2020CAD / bn tonne-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-marine-2b87d19f:composite:1:ad7b13db5806a90b
NS,T_HDV_WTF_MDO_N,2025,159.71497923605244,$M 2020CAD / bn tonne-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-marine-7153c4b0:composite:1:6ed78a0e5715890a
NS,T_HDV_WTF_MDO_N,2030,159.71497923605244,$M 2020CAD / bn tonne-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-marine-7153c4b0:composite:1:6ed78a0e5715890a
NS,T_HDV_WTF_MDO_N,2035,159.71497923605244,$M 2020CAD / bn tonne-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-marine-7153c4b0:composite:1:6ed78a0e5715890a
NS,T_HDV_WTF_MDO_N,2040,159.71497923605244,$M 2020CAD / bn tonne-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-marine-7153c4b0:composite:1:6ed78a0e5715890a
NS,T_HDV_WTF_MDO_N,2045,159.71497923605244,$M 2020CAD / bn tonne-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-marine-7153c4b0:composite:1:6ed78a0e5715890a
ON,T_HDV_AJF_JFL_N,2025,6132.623678803439,$M 2020CAD / bn tonne-km,CIMS aircraft CAPEX normalized by FAA All Aircraft annual service output; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-air-e97ac762:composite:1:bd087d6387d7310e
ON,T_HDV_AJF_JFL_N,2030,6132.623678803439,$M 2020CAD / bn tonne-km,CIMS aircraft CAPEX normalized by FAA All Aircraft annual service output; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-air-e97ac762:composite:1:bd087d6387d7310e
ON,T_HDV_AJF_JFL_N,2035,6132.623678803439,$M 2020CAD / bn tonne-km,CIMS aircraft CAPEX normalized by FAA All Aircraft annual service output; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-air-e97ac762:composite:1:bd087d6387d7310e
ON,T_HDV_AJF_JFL_N,2040,6132.623678803439,$M 2020CAD / bn tonne-km,CIMS aircraft CAPEX normalized by FAA All Aircraft annual service output; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-air-e97ac762:composite:1:bd087d6387d7310e
ON,T_HDV_AJF_JFL_N,2045,6132.623678803439,$M 2020CAD / bn tonne-km,CIMS aircraft CAPEX normalized by FAA All Aircraft annual service output; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-air-e97ac762:composite:1:bd087d6387d7310e
ON,T_HDV_AJF_SPK_N,2025,6132.623678803439,$M 2020CAD / bn tonne-km,CIMS aircraft CAPEX normalized by FAA All Aircraft annual service output; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-air-e97ac762:composite:1:bd087d6387d7310e
ON,T_HDV_AJF_SPK_N,2030,6132.623678803439,$M 2020CAD / bn tonne-km,CIMS aircraft CAPEX normalized by FAA All Aircraft annual service output; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-air-e97ac762:composite:1:bd087d6387d7310e
ON,T_HDV_AJF_SPK_N,2035,6132.623678803439,$M 2020CAD / bn tonne-km,CIMS aircraft CAPEX normalized by FAA All Aircraft annual service output; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-air-e97ac762:composite:1:bd087d6387d7310e
ON,T_HDV_AJF_SPK_N,2040,6132.623678803439,$M 2020CAD / bn tonne-km,CIMS aircraft CAPEX normalized by FAA All Aircraft annual service output; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-air-e97ac762:composite:1:bd087d6387d7310e
ON,T_HDV_AJF_SPK_N,2045,6132.623678803439,$M 2020CAD / bn tonne-km,CIMS aircraft CAPEX normalized by FAA All Aircraft annual service output; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-air-e97ac762:composite:1:bd087d6387d7310e
ON,T_HDV_AJP_JFL_N,2025,1032.1218289023984,$M 2020CAD / bn passenger-km,CIMS aircraft CAPEX normalized by FAA All Aircraft annual service output; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-passenger-air-e97ac762:composite:1:ca4132bec8ddc7b3
ON,T_HDV_AJP_JFL_N,2030,1032.1218289023984,$M 2020CAD / bn passenger-km,CIMS aircraft CAPEX normalized by FAA All Aircraft annual service output; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-passenger-air-e97ac762:composite:1:ca4132bec8ddc7b3
ON,T_HDV_AJP_JFL_N,2035,1032.1218289023984,$M 2020CAD / bn passenger-km,CIMS aircraft CAPEX normalized by FAA All Aircraft annual service output; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-passenger-air-e97ac762:composite:1:ca4132bec8ddc7b3
ON,T_HDV_AJP_JFL_N,2040,1032.1218289023984,$M 2020CAD / bn passenger-km,CIMS aircraft CAPEX normalized by FAA All Aircraft annual service output; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-passenger-air-e97ac762:composite:1:ca4132bec8ddc7b3
ON,T_HDV_AJP_JFL_N,2045,1032.1218289023984,$M 2020CAD / bn passenger-km,CIMS aircraft CAPEX normalized by FAA All Aircraft annual service output; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-passenger-air-e97ac762:composite:1:ca4132bec8ddc7b3
ON,T_HDV_AJP_SPK_N,2025,1032.1218289023984,$M 2020CAD / bn passenger-km,CIMS aircraft CAPEX normalized by FAA All Aircraft annual service output; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-passenger-air-e97ac762:composite:1:ca4132bec8ddc7b3
ON,T_HDV_AJP_SPK_N,2030,1032.1218289023984,$M 2020CAD / bn passenger-km,CIMS aircraft CAPEX normalized by FAA All Aircraft annual service output; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-passenger-air-e97ac762:composite:1:ca4132bec8ddc7b3
ON,T_HDV_AJP_SPK_N,2035,1032.1218289023984,$M 2020CAD / bn passenger-km,CIMS aircraft CAPEX normalized by FAA All Aircraft annual service output; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-passenger-air-e97ac762:composite:1:ca4132bec8ddc7b3
ON,T_HDV_AJP_SPK_N,2040,1032.1218289023984,$M 2020CAD / bn passenger-km,CIMS aircraft CAPEX normalized by FAA All Aircraft annual service output; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-passenger-air-e97ac762:composite:1:ca4132bec8ddc7b3
ON,T_HDV_AJP_SPK_N,2045,1032.1218289023984,$M 2020CAD / bn passenger-km,CIMS aircraft CAPEX normalized by FAA All Aircraft annual service output; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-passenger-air-e97ac762:composite:1:ca4132bec8ddc7b3
ON,T_HDV_RF_DSL_N,2025,39.10602039451965,$M 2020CAD / bn tonne-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-rail-7153c4b0:composite:1:67df951b6b1f4bd6
ON,T_HDV_RF_DSL_N,2030,39.10602039451965,$M 2020CAD / bn tonne-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-rail-7153c4b0:composite:1:67df951b6b1f4bd6
ON,T_HDV_RF_DSL_N,2035,39.10602039451965,$M 2020CAD / bn tonne-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-rail-7153c4b0:composite:1:67df951b6b1f4bd6
ON,T_HDV_RF_DSL_N,2040,39.10602039451965,$M 2020CAD / bn tonne-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-rail-7153c4b0:composite:1:67df951b6b1f4bd6
ON,T_HDV_RF_DSL_N,2045,39.10602039451965,$M 2020CAD / bn tonne-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-rail-7153c4b0:composite:1:67df951b6b1f4bd6
ON,T_HDV_RF_H2_N,2025,74.69249895353255,$M 2020CAD / bn tonne-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-rail-2b87d19f:composite:1:515b0963e9e286db
ON,T_HDV_RF_H2_N,2030,74.69249895353255,$M 2020CAD / bn tonne-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-rail-2b87d19f:composite:1:515b0963e9e286db
ON,T_HDV_RF_H2_N,2035,74.69249895353255,$M 2020CAD / bn tonne-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-rail-2b87d19f:composite:1:515b0963e9e286db
ON,T_HDV_RF_H2_N,2040,68.4355356904094,$M 2020CAD / bn tonne-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-rail-2b87d19f:composite:1:515b0963e9e286db
ON,T_HDV_RF_H2_N,2045,62.178572427286255,$M 2020CAD / bn tonne-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-rail-2b87d19f:composite:1:515b0963e9e286db
ON,T_HDV_RF_LNG_N,2025,61.39645201939587,$M 2020CAD / bn tonne-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-rail-2b87d19f:composite:1:515b0963e9e286db
ON,T_HDV_RF_LNG_N,2030,61.39645201939587,$M 2020CAD / bn tonne-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-rail-2b87d19f:composite:1:515b0963e9e286db
ON,T_HDV_RF_LNG_N,2035,61.39645201939587,$M 2020CAD / bn tonne-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-rail-2b87d19f:composite:1:515b0963e9e286db
ON,T_HDV_RF_LNG_N,2040,61.13574521676574,$M 2020CAD / bn tonne-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-rail-2b87d19f:composite:1:515b0963e9e286db
ON,T_HDV_RF_LNG_N,2045,60.87503841413561,$M 2020CAD / bn tonne-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-rail-2b87d19f:composite:1:515b0963e9e286db
ON,T_HDV_RICP_DSL_N,2025,1885.6878005906885,$M 2020CAD / bn passenger-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-passenger-rail-7153c4b0:composite:1:37d8b07bf17dc2b2
ON,T_HDV_RICP_DSL_N,2030,1885.6878005906885,$M 2020CAD / bn passenger-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-passenger-rail-7153c4b0:composite:1:37d8b07bf17dc2b2
ON,T_HDV_RICP_DSL_N,2035,1885.6878005906885,$M 2020CAD / bn passenger-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-passenger-rail-7153c4b0:composite:1:37d8b07bf17dc2b2
ON,T_HDV_RICP_DSL_N,2040,1885.6878005906885,$M 2020CAD / bn passenger-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-passenger-rail-7153c4b0:composite:1:37d8b07bf17dc2b2
ON,T_HDV_RICP_DSL_N,2045,1885.6878005906885,$M 2020CAD / bn passenger-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-passenger-rail-7153c4b0:composite:1:37d8b07bf17dc2b2
ON,T_HDV_RICP_H2_N,2025,2168.5409706792916,$M 2020CAD / bn passenger-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-passenger-rail-2b87d19f:composite:1:5b60ef866184bd6b
ON,T_HDV_RICP_H2_N,2030,2168.5409706792916,$M 2020CAD / bn passenger-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-passenger-rail-2b87d19f:composite:1:5b60ef866184bd6b
ON,T_HDV_RICP_H2_N,2035,2168.5409706792916,$M 2020CAD / bn passenger-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-passenger-rail-2b87d19f:composite:1:5b60ef866184bd6b
ON,T_HDV_RICP_H2_N,2040,2080.5422066517262,$M 2020CAD / bn passenger-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-passenger-rail-2b87d19f:composite:1:5b60ef866184bd6b
ON,T_HDV_RICP_H2_N,2045,1992.5434426241607,$M 2020CAD / bn passenger-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-passenger-rail-2b87d19f:composite:1:5b60ef866184bd6b
ON,T_HDV_WTF_HFO_N,2025,159.71497923605244,$M 2020CAD / bn tonne-km,CIMS service CAPEX times REGEN relative multiplier; Mid; CER Current Measures,T15,5,5,5,5,5,transport-cost-invest-freight-marine-7153c4b0:composite:1:6ed78a0e5715890a
